Marca,Sistema ,Modelo ,Modo ,Descripcion,Capacidad,Precio,Moneda
TRANE,Voyager ll Phase Out,THH300G3R0D005D*,Paquetes Cooling Only,Voyager SF Horizontal 220V 3PH 300 MBH (High eff) w/Hail Guard,25 T.R,57238,USD
TRANE,Voyager ll Phase Out,TSD240G4R0C005D*,Paquetes Cooling Only,Voyager SF Horizontal 440V 3PH 240 MBH (Std eff) W/ HAIL GUARD,20 T.R,46685,USD
TRANE,Precedent *PhaseOut 3-5 T,TSC036G3E0A0000*,Cooling Only - Standard Efficiency,Precedent SF Electromecánico 220V 3PH 36 MBH (Std eff),3 T.R,12069,USD
TRANE,Precedent *PhaseOut 3-5 T,TSC060G4E0A0000*,Cooling Only - Standard Efficiency,Precedent SF Electromecánico 440V 3PH 60 MBH (Std eff),5 T.R,13563,USD
TRANE,Precedent *PhaseOut 3-5 T,TSC036G3R0A0000*,Cooling Only - Standard Efficiency,Hasta agotar existencias* Precedent SF Reliatel 220V 3PH 36 MBH (Std eff),3 T.R,11897,USD
TRANE,Precedent *PhaseOut 3-5 T,TSC048G3R0A0000*,Cooling Only - Standard Efficiency,Precedent SF Reliatel 220V 3PH 48 MBH (Std eff),4 T.R,12787,USD
TRANE,Precedent *PhaseOut 3-5 T,TSC048G4R0A0000*,Cooling Only - Standard Efficiency,Precedent SF Reliatel 440V 3PH 48 MBH (Std eff),4 T.R,12951,USD
TRANE,Precedent *PhaseOut 3-5 T,TSC060G3E0A0000*,Cooling Only - Standard Efficiency,SF Electromecanico 220V 3PH 60 MBH (Std eff),5 T.R,13484,USD
TRANE,Precedent *PhaseOut 3-5 T,TSC060G3R0A0000*,Cooling Only - Standard Efficiency,Precedent SF Reliatel 220V 3PH 60 MBH (Std eff),5 T.R,13528,USD
TRANE,Precedent *PhaseOut 3-5 T,TSC060G4R0A0000*,Cooling Only - Standard Efficiency,Precedent SF Reliatel 440V 3PH 60 MBH (Std eff),5 T.R,13687,USD
TRANE,Precedent *PhaseOut 3-5 T,WSC048H3R0A0000*,Heat Pump - Standard Efficiency,Precedent HP Reliatel 220V 3PH 48 MBH (Std eff),4 T.R,15511,USD
TRANE,Precedent *PhaseOut 3-5 T,WSC048H4R0A0000*,Heat Pump - Standard Efficiency,Precedent HP Reliatel 440V 3PH 48 MBH (Std eff),4 T.R,15688,USD
TRANE,Precedent *PhaseOut 3-5 T,WSC060H3R0A0000*,Heat Pump - Standard Efficiency,Hasta agotar existencias* Precedent HP Reliatel 220V 3PH 60 MBH (Std eff),5 T.R,17066,USD
TRANE,Precedent *PhaseOut 3-5 T,WSC060H4R0A0000*,Heat Pump - Standard Efficiency,Precedent HP Reliatel 440V 3PH 60 MBH (Std eff),5 T.R,17999,USD
TRANE,Precedent *Phase Out* (6-10 T),TSJ072A4S0C08F7*,Cooling Only - Standard Efficiency,Precedent SF 440 3PH 90 MBH *Consulta caracteristicas con Ejecutivo de ventas,7.5 T.R,33920,USD
TRANE,Precedent *Phase Out* (6-10 T),TSJ102A3S0007C7*,Cooling Only - Standard Efficiency,Precedent SF ,,30534,USD
TRANE,Precedent *Phase Out* (6-10 T),TSC120H4E0A0000*,Cooling Only - Standard Efficiency,Precedent CO Reliatel 440V 3PH 120 MBH (Std eff),10 T.R,24049,USD
TRANE,Precedent *Phase Out* (6-10 T),TSC120H4R0A0000*,Cooling Only - Standard Efficiency,Precedent CO Reliatel 440V 3PH 120 MBH (Std eff),10 T.R,24429,USD
TRANE,Precedent *Phase Out* (6-10 T),TSJ240A4S0006X3*,Cooling Only - Standard Efficiency,Precedent SF ,,62754,USD
TRANE,Precedent *Phase Out* (6-10 T),TSJ240A4S0N08F7*,Cooling Only - Standard Efficiency,Precedent SF ,,68310,USD
TRANE,Precedent *Phase Out* (6-10 T),WSC092H3R0B0000*,Heat Pump - Standard Efficiency,Precedent HP Reliatel 220V 3PH 92 MBH (Std eff),7.66 T.R,23403,USD
TRANE,Precedent *Phase Out* (6-10 T),WSC120H3R0B0000*,Heat Pump - Standard Efficiency,Precedent HP Reliatel 220V 3PH 120 MBH (Std eff),10 T.R,31747,USD
TRANE,Precedent *Phase Out* (6-10 T),YSJ090A4S0L05W6*,Gas - Standard Efficiency,Precedent Gas Low Heat ,,40587,USD
